AREA_ID,AREA_NM,ALL_KWRD_RANK_CO,ALL_KWRD_NM,ALL_KWRD_OCCU_RT,ALL_KWRD_CO,PASSNGR_KWRD_RANK_CO,PASSNGR_KWRD_NM,PASSNGR_KWRD_OCCU_RT,PASSNGR_KWRD_CO,LCLS_KWRD_RANK_CO,LCLS_KWRD_NM,LCLS_KWRD_OCCU_RT,LCLS_KWRD_CO
JNBK_34,전라북도,,,,,,,,,29,수박,1.10,19
CHN_01,충청남도,1,바다,4.90,196,1,바다,5.90,115,1,해산물,4.10,83
CHN_02,충청남도,2,해산물,4.00,161,2,해변,4.00,79,2,바다,4.00,81
CHN_03,충청남도,3,축제,3.10,122,3,해산물,4.00,78,3,축제,3.60,73
CHN_04,충청남도,4,해변,2.90,117,4,먹거리,2.70,53,4,온천,2.70,54
CHN_05,충청남도,5,온천,2.60,103,5,축제,2.50,49,5,인삼,2.30,46
CHN_06,충청남도,6,먹거리,2.30,92,5,온천,2.50,49,6,공주,2.00,41
CHN_07,충청남도,7,펜션,2.00,79,7,펜션,2.50,48,6,한우,2.00,41
CHN_08,충청남도,8,공주,1.80,73,8,힐링,2.40,47,8,독립기념관,2.00,40
CHN_09,충청남도,8,힐링,1.80,73,9,해수욕장,1.80,36,9,먹거리,1.90,39
CHN_10,충청남도,10,해수욕장,1.80,72,9,회,1.80,36,9,호두과자,1.90,39
CHN_11,충청남도,11,인삼,1.80,71,11,공주,1.60,32,9,시장,1.90,39
CHN_12,충청남도,12,한우,1.70,67,11,산,1.60,32,12,해변,1.90,38
CHN_13,충청남도,12,호두과자,1.70,67,13,캠핑,1.60,31,13,해수욕장,1.80,36
CHN_14,충청남도,14,시장,1.60,65,14,공산성,1.50,30,14,밤,1.70,34
CHN_15,충청남도,15,공산성,1.60,62,14,부여,1.50,30,14,딸기,1.70,34
CHN_16,충청남도,16,독립기념관,1.50,61,16,휴양림,1.50,29,16,공산성,1.60,32
CHN_17,충청남도,16,회,1.50,61,16,체험,1.50,29,17,펜션,1.50,31
CHN_18,충청남도,18,밤,1.50,60,18,호두과자,1.40,28,17,출렁다리,1.50,31
CHN_19,충청남도,19,산,1.50,59,19,카페,1.40,27,17,머드축제,1.50,31
CHN_20,충청남도,20,출렁다리,1.40,55,20,한우,1.30,26,17,박물관,1.50,31
CHN_21,충청남도,20,휴양림,1.40,55,20,시장,1.30,26,21,현충사,1.50,30
CHN_22,충청남도,22,머드축제,1.40,54,20,밤,1.30,26,22,계룡산,1.40,28
CHN_23,충청남도,22,카페,1.40,54,20,공원,1.30,26,23,산,1.30,27
CHN_24,충청남도,24,계룡산,1.30,53,20,재래시장,1.30,26,23,카페,1.30,27
CHN_25,충청남도,24,공원,1.30,53,25,인삼,1.30,25,23,공원,1.30,27
CHN_26,충청남도,26,박물관,1.20,49,25,계룡산,1.30,25,26,힐링,1.30,26
CHN_27,충청남도,27,예산,1.20,48,25,리조트,1.30,25,26,휴양림,1.30,26
CHN_28,충청남도,27,재래시장,1.20,48,28,출렁다리,1.20,24,26,예산,1.30,26
CHN_29,충청남도,29,딸기,1.20,47,28,워터파크,1.20,24,26,해미읍성,1.30,26
CHN_30,충청남도,29,부여,1.20,47,30,머드축제,1.20,23,26,대하,1.30,26
CHN_31,충청남도,29,예당저수지,1.20,47,30,예당저수지,1.20,23,,,,
CHN_32,충청남도,29,캠핑,1.20,47,30,대천해수욕장,1.20,23,,,,
CB_01,충청북도,1,충주호,4.20,101,1,힐링,4.90,65,1,의림지,4.70,51
CB_02,충청북도,2,의림지,3.60,85,2,충주호,3.90,51,2,충주호,4.60,50
CB_03,충청북도,3,계곡,3.50,84,3,계곡,3.60,47,3,계곡,3.40,37
CB_04,충청북도,4,먹거리,3.20,76,3,먹거리,3.60,47,4,온천,2.80,30
CB_05,충청북도,5,힐링,3.10,75,5,산,3.30,44,5,먹거리,2.70,29
CB_06,충청북도,6,산,3.00,72,6,패러글라이딩,3.00,40,6,산,2.60,28
CB_07,충청북도,7,온천,2.70,65,7,온천,2.70,35,7,공원,2.40,26
CB_08,충청북도,8,휴양림,2.50,59,7,마늘,2.70,35,8,휴양림,2.30,25
CB_09,충청북도,9,속리산,2.40,58,9,의림지,2.60,34,9,속리산,2.20,24
CB_10,충청북도,10,마늘,2.30,56,9,휴양림,2.60,34,10,청풍,2.10,23
CB_11,충청북도,11,패러글라이딩,2.30,54,9,속리산,2.60,34,11,농다리,2.00,22
CB_12,충청북도,12,캠핑,2.20,53,9,캠핑,2.60,34,11,축제,2.00,22
CB_13,충청북도,13,리조트,2.00,49,13,호수,2.40,32,13,마늘,1.90,21
CB_14,충청북도,13,펜션,2.00,49,14,리조트,2.30,30,14,고추,1.90,20
CB_15,충청북도,15,단양,2.00,47,14,펜션,2.30,30,15,캠핑,1.80,19
CB_16,충청북도,16,자연,1.90,45,14,자연,2.30,30,15,리조트,1.80,19
CB_17,충청북도,17,호수,1.80,44,14,자연경관,2.30,30,15,펜션,1.80,19
CB_18,충청북도,18,공원,1.80,43,18,단양,2.10,28,15,단양,1.80,19
CB_19,충청북도,19,수안보,1.80,42,19,시장,1.80,24,15,수안보,1.80,19
CB_20,충청북도,19,시장,1.80,42,19,산책,1.80,24,15,중앙탑,1.80,19
CB_21,충청북도,21,자연경관,1.60,39,19,재래시장,1.80,24,15,상당산성,1.80,19
CB_22,충청북도,22,농다리,1.60,38,19,관광,1.80,24,22,시장,1.70,18
CB_23,충청북도,22,산책,1.60,38,23,수안보,1.80,23,22,충주댐,1.70,18
CB_24,충청북도,24,재래시장,1.50,37,24,리솜포레스트,1.70,22,22,사과,1.70,18
CB_25,충청북도,25,리솜포레스트,1.50,36,25,벨포레,1.50,20,25,월악산,1.60,17
CB_26,충청북도,26,관광,1.50,35,26,도담삼봉,1.40,18,25,좌구산,1.60,17
CB_27,충청북도,27,축제,1.40,33,26,동굴,1.40,18,27,인삼,1.50,16
CB_28,충청북도,28,충주댐,1.30,31,26,케이블카,1.40,18,28,자연,1.40,15
CB_29,충청북도,29,도담삼봉,1.30,30,26,가족,1.40,18,28,탄금대,1.40,15
CB_30,충청북도,29,월악산,1.30,30,30,공원,1.30,17,28,빨간오뎅,1.40,15
CB_31,충청북도,,,,,30,카페,1.30,17,,,,
CB_32,충청북도,,,,,30,법주사,1.30,17,,,,
CB_33,충청북도,,,,,30,맛집,1.30,17,,,,
JJ_01,제주특별자치도,1,바다,9.70,365,1,바다,10.20,306,1,바다,7.60,59
JJ_02,제주특별자치도,2,해변,7.60,285,2,해변,7.80,232,2,해변,6.80,53
JJ_03,제주특별자치도,3,카페,3.70,140,3,카페,4.00,119,3,제주,4.40,34
JJ_04,제주특별자치도,4,제주,3.70,139,4,성산일출봉,3.60,107,4,먹거리,3.70,29
JJ_05,제주특별자치도,5,흑돼지,3.30,126,5,제주,3.50,105,5,오름,3.60,28
JJ_06,제주특별자치도,6,성산일출봉,3.20,122,6,흑돼지,3.30,99,6,흑돼지,3.50,27
JJ_07,제주특별자치도,7,먹거리,3.00,112,7,힐링,3.10,93,7,호텔,3.20,25
JJ_08,제주특별자치도,8,호텔,2.80,107,8,먹거리,2.80,83,7,해안도로,3.20,25
JJ_09,제주특별자치도,9,힐링,2.70,103,9,호텔,2.70,82,9,카페,2.70,21
JJ_10,제주특별자치도,10,해산물,2.30,87,10,해산물,2.50,74,10,펜션,2.30,18
JJ_11,제주특별자치도,11,해안도로,2.10,81,11,우도,2.40,71,11,해수욕장,2.20,17
JJ_12,제주특별자치도,12,귤,2.10,80,12,회,2.20,66,11,올레길,2.20,17
JJ_13,제주특별자치도,13,우도,2.10,79,13,귤,2.20,65,13,성산일출봉,1.90,15
JJ_14,제주특별자치도,14,해수욕장,2.00,77,14,자연경관,2.10,62,13,귤,1.90,15
JJ_15,제주특별자치도,15,회,2.00,75,15,해수욕장,2.00,60,15,재래시장,1.80,14
JJ_16,제주특별자치도,16,자연경관,1.90,72,16,해안도로,1.90,56,15,애월,1.80,14
JJ_17,제주특별자치도,17,오름,1.90,71,17,올레길,1.70,50,17,해산물,1.70,13
JJ_18,제주특별자치도,18,올레길,1.80,67,17,산책,1.70,50,18,산방산,1.50,12
JJ_19,제주특별자치도,19,리조트,1.50,58,19,리조트,1.60,48,18,관광,1.50,12
JJ_20,제주특별자치도,19,산책,1.50,58,20,갈치조림,1.50,45,18,고기국수,1.50,12
JJ_21,제주특별자치도,21,갈치조림,1.40,53,21,자연,1.50,44,18,동문시장,1.50,12
JJ_22,제주특별자치도,22,산방산,1.40,52,22,오름,1.40,43,22,맛집,1.40,11
JJ_23,제주특별자치도,23,맛집,1.40,51,23,산방산,1.30,40,23,힐링,1.30,10
JJ_24,제주특별자치도,23,펜션,1.40,51,23,맛집,1.30,40,23,자연경관,1.30,10
JJ_25,제주특별자치도,25,자연,1.30,50,25,신화월드,1.20,36,23,리조트,1.30,10
JJ_26,제주특별자치도,26,재래시장,1.20,45,26,경관,1.10,34,23,갈치,1.30,10
JJ_27,제주특별자치도,27,관광,1.10,42,27,펜션,1.10,33,23,특산품,1.30,10
JJ_28,제주특별자치도,28,땅콩,1.00,39,28,땅콩,1.10,32,23,시내,1.30,10
